@id,name,addr:street,addr:city,website,phone,amenity,building,municipality,addr:place,addr:town,@lat,@lon
2573197826,,,,,,,,,,,41.9864316,20.9625672
2573197827,,,,,,,,,,,41.9867809,20.9602028
2573197828,,,,,,,,,,,41.9864705,20.9604798
2573197829,,,,,,,,,,,41.9865352,20.9606109
2573197830,,,,,,,,,,,41.9868456,20.9603338
2573197831,,,,,,,,,,,41.9867604,20.9604098
2573197833,,,,,,,,,,,41.9868129,20.9602677
2573197834,,,,,,,,,,,41.9860933,20.9608835
2573197835,,,,,,,,,,,41.9857870,20.9611756
2573197836,,,,,,,,,,,41.9858532,20.9613012
2573197837,,,,,,,,,,,41.9861595,20.9610091
2573197838,,,,,,,,,,,41.9863273,20.9606724
2573197839,,,,,,,,,,,41.9863273,20.9607821
2573197840,,,,,,,,,,,41.9865901,20.9607787
2573197841,,,,,,,,,,,41.9865924,20.9606739
2573197842,,,,,,,,,,,41.9868283,20.9607787
2573197843,,,,,,,,,,,41.9868283,20.9606709
2573197844,,,,,,,,,,,41.9862666,20.9611207
2573197845,,,,,,,,,,,41.9862666,20.9613449
2573197846,,,,,,,,,,,41.9865616,20.9613425
2573197847,,,,,,,,,,,41.9865634,20.9611207
2573197848,,,,,,,,,,,41.9867647,20.9607787
